prov_code,prov_name,dist_code,const_code
1,Central,101,1
1,Central,101,2
1,Central,101,3
1,Central,102,4
1,Central,102,5
1,Central,103,6
1,Central,104,7
1,Central,104,8
1,Central,105,9
1,Central,105,10
1,Central,105,11
1,Central,106,12
1,Central,106,13
1,Central,106,14
2,Copperbelt,201,15
2,Copperbelt,202,16
2,Copperbelt,202,17
2,Copperbelt,203,18
2,Copperbelt,204,19
2,Copperbelt,204,20
2,Copperbelt,204,21
2,Copperbelt,204,22
2,Copperbelt,204,23
2,Copperbelt,205,24
2,Copperbelt,205,25
2,Copperbelt,209,26
2,Copperbelt,209,27
2,Copperbelt,209,28
2,Copperbelt,207,29
2,Copperbelt,206,30
2,Copperbelt,207,31
2,Copperbelt,208,32
2,Copperbelt,210,33
2,Copperbelt,210,34
2,Copperbelt,210,35
2,Copperbelt,210,36
3,Eastern,301,37
3,Eastern,301,38
3,Eastern,302,41
3,Eastern,303,42
3,Eastern,303,43
3,Eastern,303,44
3,Eastern,304,45
3,Eastern,304,46
3,Eastern,304,47
3,Eastern,305,48
3,Eastern,305,49
3,Eastern,305,50
3,Eastern,306,51
3,Eastern,306,52
3,Eastern,307,53
3,Eastern,307,54
3,Eastern,307,55
4,Luapula,402,56
4,Luapula,402,57
4,Luapula,402,58
4,Luapula,403,59
4,Luapula,404,60
4,Luapula,403,61
4,Luapula,405,62
4,Luapula,405,63
4,Luapula,405,64
4,Luapula,401,65
4,Luapula,406,66
4,Luapula,407,67
4,Luapula,407,68
4,Luapula,407,69
5,Lusaka,502,70
5,Lusaka,503,71
5,Lusaka,502,72
5,Lusaka,501,73
5,Lusaka,501,74
5,Lusaka,504,75
5,Lusaka,504,76
5,Lusaka,504,77
5,Lusaka,504,78
5,Lusaka,504,79
5,Lusaka,504,80
5,Lusaka,504,81
7,Northern,701,82
7,Northern,702,88
7,Northern,702,89
7,Northern,703,90
7,Northern,703,91
7,Northern,708,92
7,Northern,704,93
7,Northern,704,94
7,Northern,705,95
7,Northern,707,96
7,Northern,705,97
7,Northern,706,101
7,Northern,706,102
8,North-Western,801,103
8,North-Western,802,104
8,North-Western,802,105
8,North-Western,803,106
8,North-Western,804,107
8,North-Western,805,108
8,North-Western,808,109
8,North-Western,806,110
8,North-Western,806,111
8,North-Western,806,112
8,North-Western,807,113
8,North-Western,807,114
9,Southern,901,115
9,Southern,901,116
9,Southern,901,117
9,Southern,902,118
9,Southern,904,119
9,Southern,904,120
9,Southern,905,121
9,Southern,904,122
9,Southern,906,123
9,Southern,907,124
9,Southern,907,125
9,Southern,907,126
9,Southern,908,127
9,Southern,908,128
9,Southern,908,129
9,Southern,903,130
9,Southern,909,131
9,Southern,910,132
9,Southern,911,133
10,Western,1001,134
10,Western,1001,135
10,Western,1001,136
10,Western,1002,137
10,Western,1002,138
10,Western,1002,139
10,Western,1003,140
10,Western,1003,141
10,Western,1004,142
10,Western,1004,143
10,Western,1004,144
10,Western,1005,145
10,Western,1005,146
10,Western,1007,147
10,Western,1006,148
10,Western,1006,149
10,Western,1006,150
6,Muchinga,601,39
6,Muchinga,601,40
6,Muchinga,602,83
6,Muchinga,602,84
6,Muchinga,604,85
6,Muchinga,603,86
6,Muchinga,606,87
6,Muchinga,605,98
6,Muchinga,605,99
6,Muchinga,605,100
